"Revision";"guid";"link";"category";"title";"description";"pubDate"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24881";"CVE";"CVE-2023-24881 Microsoft Teams Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28283";"CVE";"CVE-2023-28283 Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24898";"CVE";"CVE-2023-24898 Windows SMB Denial of Service Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24899";"CVE";"CVE-2023-24899 Windows Graphics Component Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24939";"CVE";"CVE-2023-24939 Server for NFS Denial of Service Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24900";"CVE";"CVE-2023-24900 Windows NTLM Security Support Provider Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24940";"CVE";"CVE-2023-24940 Windows Pragmatic General Multicast (PGM) Denial of Service Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24901";"CVE";"CVE-2023-24901 Windows NFS Portmapper Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24941";"CVE";"CVE-2023-24941 Windows Network File System Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24902";"CVE";"CVE-2023-24902 Win32k Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24942";"CVE";"CVE-2023-24942 Remote Procedure Call Runtime Denial of Service Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24903";"CVE";"CVE-2023-24903 Windows Secure Socket Tunneling Protocol (SSTP) Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24943";"CVE";"CVE-2023-24943 Windows Pragmatic General Multicast (PGM) Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24905";"CVE";"CVE-2023-24905 Remote Desktop Client Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24944";"CVE";"CVE-2023-24944 Windows Bluetooth Driver Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24945";"CVE";"CVE-2023-24945 Windows iSCSI Target Service Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24946";"CVE";"CVE-2023-24946 Windows Backup Service Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24947";"CVE";"CVE-2023-24947 Windows Bluetooth Driver Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24948";"CVE";"CVE-2023-24948 Windows Bluetooth Driver Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24949";"CVE";"CVE-2023-24949 Windows Kernel Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24950";"CVE";"CVE-2023-24950 Microsoft SharePoint Server Spoofing Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24953";"CVE";"CVE-2023-24953 Microsoft Excel Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24954";"CVE";"CVE-2023-24954 Microsoft SharePoint Server Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24955";"CVE";"CVE-2023-24955 Microsoft SharePoint Server Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29324";"CVE";"CVE-2023-29324 Windows MSHTML Platform Security Feature Bypass Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29335";"CVE";"CVE-2023-29335 Microsoft Word Security Feature Bypass Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29336";"CVE";"CVE-2023-29336 Win32k Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29338";"CVE";"CVE-2023-29338 Visual Studio Code Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29340";"CVE";"CVE-2023-29340 AV1 Video Extension Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29341";"CVE";"CVE-2023-29341 AV1 Video Extension Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29343";"CVE";"CVE-2023-29343 SysInternals Sysmon for Windows Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24932";"CVE";"CVE-2023-24932 Secure Boot Security Feature Bypass Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28251";"CVE";"CVE-2023-28251 Windows Driver Revocation List Security Feature Bypass Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28290";"CVE";"CVE-2023-28290 Microsoft Remote Desktop app for Windows Information Disclosure Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24904";"CVE";"CVE-2023-24904 Windows Installer Elevation of Privilege Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29325";"CVE";"CVE-2023-29325 Windows OLE Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29333";"CVE";"CVE-2023-29333 Microsoft Access Denial of Service Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29344";"CVE";"CVE-2023-29344 Microsoft Office Remote Code Execution Vulnerability";"Information published.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23383";"CVE";"CVE-2023-23383 Service Fabric Explorer Spoofing Vulnerability";"Added FAQ information. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23396";"CVE";"CVE-2023-23396 Microsoft Excel Denial of Service Vulnerability";"Added FAQ information. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23398";"CVE";"CVE-2023-23398 Microsoft Excel Spoofing Vulnerability";"Updated FAQ information. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24858";"CVE";"CVE-2023-24858 Microsoft PostScript and PCL6 Class Printer Driver Information Disclosure Vulnerability";"Updated one or more CVSS scores for the affected products. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24911";"CVE";"CVE-2023-24911 Microsoft PostScript and PCL6 Class Printer Driver Information Disclosure Vulnerability";"Updated one or more CVSS scores for the affected products and added an FAQ explaining the vector string settings. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24892";"CVE";"CVE-2023-24892 Microsoft Edge (Chromium-based) Webview2 Spoofing Vulnerability";"Updated one or more CVSS scores for the affected products and added an FAQ explaining the vector string settings. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21738";"CVE";"CVE-2023-21738 Microsoft Office Visio Remote Code Execution Vulnerability";"Updated one or more CVSS scores for the affected products. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21779";"CVE";"CVE-2023-21779 Visual Studio Code Remote Code Execution Vulnerability";"Updated one or more CVSS scores for the affected products. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41104";"CVE";"CVE-2022-41104 Microsoft Excel Security Feature Bypass Vulnerability";"Updated one or more CVSS scores for the affected products. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"2.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-26928";"CVE";"CVE-2022-26928 Windows Photo Import API Elevation of Privilege Vulnerability";"To comprehensively address CVE-2022-26928, Microsoft has released May 2023 security updates for all affected versions of Microsoft Windows. Microsoft strongly recommends that customers install the updates to be fully protected from the vulnerability. Customers whose systems are configured to receive automatic updates do not need to take any further action.";"Tue, 09 May 2023 07:00:00 Z"
"2.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900";"CVE";"CVE-2013-3900 WinVerifyTrust Signature Validation Vulnerability";"In the Executive Summary, corrected information about Windows 10 and Windows 11 to state that the supporting code for this reg key was incorporated at the time of release for Windows 10 and Windows 11, so no security update is required; however, the reg key must be set. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"2.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-29900";"CVE";"CVE-2022-29900 AMD: CVE-2022-29900 AMD CPU Branch Type Confusion";"This document originally was associated with CVE-2022-23816.  That CVE was officially rejected by the assigning CNA in lie
u of a different CVE which was associated with the same vulnerability.  For this reason, we updated this document to reference CVE-2022-29900.  This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-28452";"CVE";"CVE-2021-28452 Microsoft Outlook Memory Corruption Vulnerability";"Corrected Article links in the Security Updates table. This is an informational change only.";"Tue, 09 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2459";"CVE";"Chromium: CVE-2023-2459 Inappropriate implementation in Prompts";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2460";"CVE";"Chromium: CVE-2023-2460 Insufficient validation of untrusted input in Extensions";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2462";"CVE";"Chromium: CVE-2023-2462 Inappropriate implementation in Prompts";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2463";"CVE";"Chromium: CVE-2023-2463 Inappropriate implementation in Full Screen Mode";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2464";"CVE";"Chromium: CVE-2023-2464 Inappropriate implementation in PictureInPicture";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2465";"CVE";"Chromium: CVE-2023-2465 Inappropriate implementation in CORS";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2466";"CVE";"Chromium: CVE-2023-2466 Inappropriate implementation in Prompts";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2467";"CVE";"Chromium: CVE-2023-2467 Inappropriate implementation in Prompts";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2468";"CVE";"Chromium: CVE-2023-2468 Inappropriate implementation in PictureInPicture";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see [Google Chrome Releases](https://chromereleases.googleblog.com/2023) for more information.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29350";"CVE";"CVE-2023-29350 Microsoft Edge (Chromium-based) Elevation of Privilege Vulnerability";"Information published.";"Fri, 05 May 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29354";"CVE";"CVE-2023-29354 Microsoft Edge (Chromium-based) Security Feature Bypass Vulnerability";"Information published.";"Fri, 05 May 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24935";"CVE";"CVE-2023-24935 Microsoft Edge (Chromium-based) Spoofing Vulnerability";"Updated information to include CVSS scores. This is an informational change only.";"Fri, 28 Apr 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29334";"CVE";"CVE-2023-29334 Microsoft Edge (Chromium-based) Spoofing Vulnerability";"Information published.";"Fri, 28 Apr 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28313";"CVE";"CVE-2023-28313 Microsoft Dynamics 365 Customer Voice Cross-Site Scripting Vulnerability";"Corrected Article links in the Security Updates table. This is an informational change only.";"Thu, 27 Apr 2023 07:00:00 Z"
"1.3000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24934";"CVE";"CVE-2023-24934 Microsoft Defender Security Feature Bypass Vulnerability";"Added an acknowledgement. This is an informational change only.";"Thu, 27 Apr 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2136";"CVE";"Chromium: CVE-2023-2136 Integer overflow in Skia";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see Google Chrome Releases for more information.
Google is aware that an exploit for CVE-2023-2136 exists in the wild.
";"Wed, 19 Apr 2023 18:29:07 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24934";"CVE";"Microsoft Defender Security Feature Bypass Vulnerability";"";"Tue, 18 Apr 2023 07:00:00 Z"
"2.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41113";"CVE";"Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability";"";"Tue, 18 Apr 2023 07:00:00 Z"
"1.2000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23379";"CVE";"Microsoft Defender for IoT Elevation of Privilege Vulnerability";"";"Tue, 18 Apr 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-2033";"CVE";"Chromium: CVE-2023-2033 Type Confusion in V8";"This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see Google Chrome Releases for more information.
Google is aware that an exploit for CVE-2023-2033 exists in the wild.
";"Sat, 15 Apr 2023 07:00:00 Z"
"2.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24512";"CVE";".NET and Visual Studio Remote Code Execution Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"3.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24480";"CVE";"Outlook for Android Elevation of Privilege Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21778";"CVE";"Microsoft Dynamics Unified Service Desk Remote Code Execution Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21807";"CVE";"Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23379";"CVE";"Microsoft Defender for IoT Elevation of Privilege Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23382";"CVE";"Azure Machine Learning Compute Instance Information Disclosure Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.3000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21715";"CVE";"Microsoft Publisher Security Features Bypass Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.0000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24934";"CVE";"Microsoft Defender Security Feature Bypass Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28231";"CVE";"DHCP Server Service Remote Code Execution Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
"1.1000000000";"System.Xml.XmlElement";"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-23292";"CVE";"Microsoft Power BI Spoofing Vulnerability";"";"Fri, 14 Apr 2023 07:00:00 Z"
